Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,2.840908283832874e-07,-2.1732551557773476,success,10.644,98.13991678585518,world_279.world,6.347424364408184,0.5
baseline,2,0,0.015432402644320171,-2.010587390657138,success,11.026,98.80708904888093,world_279.world,6.347424364408184,0.5
baseline,3,1,0.5190157675579938,-13.796848120128862,flip,15.677,-95.89550152920799,world_279.world,6.347424364408184,0.0
baseline,4,0,3.174602166792963e-07,-1.6913268578387395,success,10.395000000000003,98.77326660749434,world_279.world,6.347424364408184,0.5
baseline,5,0,3.267972788244187e-07,-1.5999026245971086,success,10.440000000000005,97.46313629741938,world_279.world,6.347424364408184,0.5
baseline,6,0,0.0060243957757844056,-1.5775098506284582,success,10.926000000000002,98.19189713520404,world_279.world,6.347424364408184,0.5
baseline,7,0,3.1847123615565734e-07,-1.4554495741608289,success,10.545000000000002,98.43810260610101,world_279.world,6.347424364408184,0.5
baseline,8,0,0.009063743485273872,-1.934518646933439,success,11.040999999999997,98.1827993080833,world_279.world,6.347424364408184,0.5
baseline,9,0,0.03801197718948036,-1.8480767845881017,success,11.453999999999994,95.95345805864963,world_279.world,6.347424364408184,0.5
baseline,10,0,0.020649256445647066,-2.2096209416388333,success,10.87299999999999,96.46911485933435,world_279.world,6.347424364408184,0.5
baseline,11,0,0.019047930460974458,-1.6411836694495623,success,10.530999999999992,99.59625328042821,world_279.world,6.347424364408184,0.5
baseline,12,0,3.1645559605835573e-07,-1.146541952951951,success,10.451000000000022,97.6814810961815,world_279.world,6.347424364408184,0.5
baseline,13,0,0.009404699246175787,-1.7513426482170051,success,10.657999999999987,97.41054762068399,world_279.world,6.347424364408184,0.5
baseline,14,0,0.2457266568960135,-8.130031148616926,success,16.008999999999986,79.27294330805124,world_279.world,6.347424364408184,0.39649099658993
baseline,15,0,3.1446530991656923e-07,-1.7045979219419252,success,10.653999999999996,98.84377001676603,world_279.world,6.347424364408184,0.5
baseline,16,0,0.03021177334991742,-1.689572626646753,success,11.037000000000006,96.99344425569919,world_279.world,6.347424364408184,0.5
baseline,17,0,3.115263827020615e-07,-1.5091515393858697,success,10.488,96.3863226299913,world_279.world,6.347424364408184,0.5
baseline,18,0,0.015106037732314885,-1.922096737683644,success,10.957999999999998,95.5087890756769,world_279.world,6.347424364408184,0.5
baseline,19,0,0.003144967564475609,-1.7787094331933961,success,10.611999999999995,99.30955070793763,world_279.world,6.347424364408184,0.5
baseline,20,0,0.033742627686310527,-1.326616710747436,success,10.61699999999999,96.94998998714567,world_279.world,6.347424364408184,0.5
