Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,2.4271838768971174e-07,-3.2324938174666675,success,12.268,92.75900366039195,world_85.world,5.432075943078097,0.4427841492564474
baseline,2,0,0.029498811357282786,-1.6691694725206137,success,11.044,98.72339102840901,world_85.world,5.432075943078097,0.4918576551139167
baseline,3,0,0.3252819121929288,-17.146174309309313,success,20.550000000000004,58.55654317074354,world_85.world,5.432075943078097,0.2643345957702236
baseline,4,0,0.24626879733791096,-9.971558793957565,success,17.601,70.53088911690648,world_85.world,5.432075943078097,0.3086231431781204
baseline,5,0,2.7624301761242613e-07,-2.7920985606301736,success,11.652000000000001,93.92784052213224,world_85.world,5.432075943078097,0.466192580078793
baseline,6,0,0.018518778169635406,-2.757506123273007,success,12.00099999999999,93.70676628902089,world_85.world,5.432075943078097,0.4526352756502042
baseline,7,0,0.04569918126366095,-2.7183300980618736,success,12.073999999999998,93.50515843841848,world_85.world,5.432075943078097,0.4498986204305199
baseline,8,0,2.7397252767875955e-07,-3.0341824796388566,success,11.626999999999995,93.43990161279092,world_85.world,5.432075943078097,0.4671949723125569
baseline,9,0,0.328302013527922,-8.474100649670403,success,17.069000000000003,72.60198647845527,world_85.world,5.432075943078097,0.31824219011530236
baseline,10,0,0.019125951058483318,-2.42039341232068,success,11.919999999999987,94.06047419660199,world_85.world,5.432075943078097,0.4557110690501764
baseline,11,0,0.008823820934170315,-2.749499418374685,success,10.907999999999987,96.19585952546862,world_85.world,5.432075943078097,0.49799009379153863
baseline,12,0,0.015748289829845188,-3.3077201832122087,success,11.925000000000011,91.8086501466092,world_85.world,5.432075943078097,0.45551999522667436
baseline,13,0,0.05696232374610009,-1.8099011492904384,success,10.179000000000002,99.01122247113614,world_85.world,5.432075943078097,0.5
baseline,14,0,0.03550310125693768,-9.864779044446907,success,21.772999999999996,54.39232677052033,world_85.world,5.432075943078097,0.24948679295816367
baseline,15,0,0.05228789140918582,-1.7117164663806896,success,10.04000000000002,100.93248077694608,world_85.world,5.432075943078097,0.5
baseline,16,0,0.02244413405383191,-3.2626424301727934,success,12.561999999999983,91.81339400845376,world_85.world,5.432075943078097,0.4324212659670517
baseline,17,0,0.058989028373868435,-2.3749843070300694,success,11.47199999999998,94.53399935137492,world_85.world,5.432075943078097,0.47350731721392136
baseline,18,0,0.0030214492382328586,-1.3296244775556267,success,10.522999999999996,98.79742014026095,world_85.world,5.432075943078097,0.5
baseline,19,0,0.06571455265298497,-1.7859093441705098,success,10.990000000000038,97.34570764594429,world_85.world,5.432075943078097,0.49427442612175415
baseline,20,0,0.012500246874938281,-3.285012464976401,success,13.003000000000043,89.6691442038471,world_85.world,5.432075943078097,0.4177555904851249
