Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,2.8985498844782945e-07,-1.3289235907518595,success,10.67,97.56958057092716,world_204.world,6.837358092959306,0.5
baseline,2,0,3.1446530991656923e-07,-1.4800678836436854,success,10.375999999999998,97.44472509154267,world_204.world,6.837358092959306,0.5
baseline,3,0,0.010989282695252007,-1.459227002282076,success,11.936,92.60748974885495,world_204.world,6.837358092959306,0.5
baseline,4,0,0.047222486882642536,-1.3610230531701353,success,11.590000000000003,95.86069448398368,world_204.world,6.837358092959306,0.5
baseline,5,0,2.9940110796374015e-07,-1.2383970465617697,success,10.745000000000005,98.59158954277757,world_204.world,6.837358092959306,0.5
baseline,6,0,0.023323899905568542,-1.126251989467541,success,10.885999999999996,98.62233076455442,world_204.world,6.837358092959306,0.5
baseline,7,0,0.07751961821198496,-1.5308009848746031,success,12.52300000000001,92.94075831754408,world_204.world,6.837358092959306,0.5
baseline,8,0,0.052341858858992056,-2.86555195249837,success,11.602000000000004,93.75990758427776,world_204.world,6.837358092959306,0.5
baseline,9,0,3.012047285527926e-07,-1.2690569966798362,success,11.009,93.78537262872297,world_204.world,6.837358092959306,0.5
baseline,10,0,3.2154330496999844e-07,-1.2289471974966883,success,10.031999999999996,97.5991042815927,world_204.world,6.837358092959306,0.5
baseline,11,0,0.0029328437147085884,-1.2559378929533778,success,10.997,98.38977856175993,world_204.world,6.837358092959306,0.5
baseline,12,0,2.932550459662622e-07,-1.3334383203820381,success,11.179000000000002,96.65717122913608,world_204.world,6.837358092959306,0.5
baseline,13,0,0.014285995918286882,-1.4666607741299909,success,11.397999999999996,96.6169817692535,world_204.world,6.837358092959306,0.5
baseline,14,0,2.8653286918828964e-07,-1.3031633521006143,success,11.120000000000005,97.74400012485259,world_204.world,6.837358092959306,0.5
baseline,15,0,3.0487795582989155e-07,-1.130775614052458,success,10.701999999999998,98.19877252995283,world_204.world,6.837358092959306,0.5
baseline,16,0,0.019073836764622137,-1.3826126649070964,success,11.915999999999997,91.96673965209821,world_204.world,6.837358092959306,0.5
baseline,17,0,0.046921100609647916,-1.8546708181566516,success,10.992999999999995,95.48279178273987,world_204.world,6.837358092959306,0.5
baseline,18,0,0.008620974534202722,-1.3235693297658326,success,11.445999999999998,96.17565174007427,world_204.world,6.837358092959306,0.5
baseline,19,0,2.967358169923392e-07,-1.4872652196027512,success,11.139999999999986,97.36612497718986,world_204.world,6.837358092959306,0.5
baseline,20,0,0.002755095659753262,-1.4539187953249355,success,11.762999999999977,93.43309937693573,world_204.world,6.837358092959306,0.5
