Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,3.6496337045132473e-07,-1.3454856984091526,success,8.784,105.89732872522958,world_83.world,6.3363352446394385,0.5
baseline,2,0,0.011494631611252259,-1.5537084548873523,success,8.855,105.43177755584415,world_83.world,6.3363352446394385,0.5
baseline,3,0,0.003759773022641721,-1.5818155245459058,success,8.901999999999997,103.79494357002883,world_83.world,6.3363352446394385,0.5
baseline,4,0,0.053381119793195805,-1.3015614549872188,success,9.609000000000002,102.40078460982026,world_83.world,6.3363352446394385,0.5
baseline,5,0,0.01879736135437543,-1.5866954629473047,success,8.857,105.77215465970872,world_83.world,6.3363352446394385,0.5
baseline,6,0,0.021739484876998234,-1.6619890730790234,success,9.479000000000006,104.72556930559014,world_83.world,6.3363352446394385,0.5
baseline,7,0,0.0355875318193837,-1.664323714742912,success,9.403000000000006,105.7573511154257,world_83.world,6.3363352446394385,0.5
baseline,8,0,3.6496337045132473e-07,-1.6606494721873326,success,9.203999999999994,105.17684508264566,world_83.world,6.3363352446394385,0.5
baseline,9,0,3.7037023319621e-07,-1.4414460106979803,success,9.085000000000008,104.16837161077248,world_83.world,6.3363352446394385,0.5
baseline,10,0,0.03040573297103616,-1.3807361473362862,success,10.051000000000002,100.69477640908718,world_83.world,6.3363352446394385,0.5
baseline,11,0,3.891049069630713e-07,-1.3210340836498946,success,8.63000000000001,105.60290016389773,world_83.world,6.3363352446394385,0.5
baseline,12,0,0.00751917010557515,-1.7180504796306002,success,8.977000000000004,103.94408493262904,world_83.world,6.3363352446394385,0.5
baseline,13,0,3.787877353076761e-07,-1.5633444150511397,success,8.88000000000001,102.84703211137196,world_83.world,6.3363352446394385,0.5
baseline,14,0,0.00949398433734673,-1.5857913284934255,success,10.517999999999972,98.70673377752632,world_83.world,6.3363352446394385,0.5
baseline,15,0,0.014981642328972911,-1.6842322514573909,success,8.971000000000004,105.64526349110879,world_83.world,6.3363352446394385,0.5
baseline,16,0,3.6101069999613724e-07,-1.5635795981585925,success,9.14100000000002,104.55979714729075,world_83.world,6.3363352446394385,0.5
baseline,17,0,0.009677738813632642,-1.9933492231575256,success,10.509000000000015,98.2999520224623,world_83.world,6.3363352446394385,0.5
baseline,18,0,3.717470736999727e-07,-1.6264772308379203,success,8.936000000000007,103.66336263375665,world_83.world,6.3363352446394385,0.5
baseline,19,0,0.015528256047125452,-2.013856736763293,success,10.968000000000018,99.44927817366548,world_83.world,6.3363352446394385,0.5
baseline,20,0,4.016062644151549e-07,-1.5956515229395698,success,8.570999999999998,106.83170216650281,world_83.world,6.3363352446394385,0.5
