Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,2.8653286918828964e-07,-1.75766262333567,success,11.084,96.46611884973711,world_232.world,6.119142001369434,0.5
baseline,2,0,0.02000027999992,-1.6442999053272875,success,11.480999999999998,96.9627679320503,world_232.world,6.119142001369434,0.5
baseline,3,0,3.134795255550077e-07,-1.8016169180194541,success,10.704,97.32349587744595,world_232.world,6.119142001369434,0.5
baseline,4,0,3.257327929209144e-07,-1.136787214519476,success,10.362000000000002,95.81205589513908,world_232.world,6.119142001369434,0.5
baseline,5,0,0.34290551640109523,-20.511672563157543,success,20.787000000000006,57.01742989088774,world_232.world,6.119142001369434,0.29437350273581725
baseline,6,0,0.017442146092399392,-1.5239717747349595,success,11.551000000000002,96.47448649721466,world_232.world,6.119142001369434,0.5
baseline,7,0,2.7624301761242613e-07,-2.126423314926425,success,11.715999999999994,94.71781331092612,world_232.world,6.119142001369434,0.5
baseline,8,0,2.8328603872916754e-07,-1.6829997404056851,success,11.835999999999999,95.12023828909523,world_232.world,6.119142001369434,0.5
baseline,9,0,0.0030867274423680736,-1.4719554127146426,success,11.198999999999998,97.94464636127377,world_232.world,6.119142001369434,0.5
baseline,10,0,0.036697542294329574,-2.0190011691780487,success,11.072000000000003,95.8028540463869,world_232.world,6.119142001369434,0.5
baseline,11,0,0.31595587425657595,-21.050746883796386,success,21.687999999999988,55.72261719992991,world_232.world,6.119142001369434,0.28214413506867564
baseline,12,0,0.05714312653053528,-1.8245621653995014,success,11.515999999999991,97.13086269611676,world_232.world,6.119142001369434,0.5
baseline,13,0,0.030030321312215825,-1.8616265276776294,success,11.088999999999999,96.64211932495759,world_232.world,6.119142001369434,0.5
baseline,14,0,0.00581424249585974,-1.7117349923788046,success,11.455000000000013,96.82292233290809,world_232.world,6.119142001369434,0.5
baseline,15,0,0.003012348490256479,-1.8093609936974695,success,11.144999999999982,96.8512098384343,world_232.world,6.119142001369434,0.5
baseline,16,0,0.04477640454435686,-2.109664535670629,success,11.168999999999983,96.13294629537336,world_232.world,6.119142001369434,0.5
baseline,17,0,0.011869729415510559,-1.9025005081499398,success,11.480999999999995,96.27996837415321,world_232.world,6.119142001369434,0.5
baseline,18,0,0.035608594774897695,-1.7892780271361866,success,11.24799999999999,95.54470089734487,world_232.world,6.119142001369434,0.5
baseline,19,0,3.105589097643138e-07,-1.3763394402443274,success,10.921999999999997,94.2356442470516,world_232.world,6.119142001369434,0.5
baseline,20,0,0.04615413964488011,-1.5678624606239568,success,11.019000000000005,94.11448967461241,world_232.world,6.119142001369434,0.5
