Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,0.012500246874938281,-2.711386374664138,success,12.259999999999998,91.77410656434793,world_181.world,6.068192516406161,0.49495860655841456
baseline,2,0,3.0303021120296636e-07,-2.0112286862202593,success,10.979,96.42778971801323,world_181.world,6.068192516406161,0.5
baseline,3,0,0.028735911282784115,-1.9087608779071619,success,11.556999999999999,96.22685497619467,world_181.world,6.068192516406161,0.5
baseline,4,0,0.006920758850948496,-1.3184047514598591,success,9.490000000000002,101.97622952953995,world_181.world,6.068192516406161,0.5
baseline,5,0,3.3898293593798786e-07,-1.551464711798889,success,9.869,99.43840668818999,world_181.world,6.068192516406161,0.5
baseline,6,0,0.013812427123638917,-1.5847450289518679,success,11.93099999999999,93.04887098867493,world_181.world,6.068192516406161,0.5
baseline,7,0,0.01194059345056912,-1.576553024670901,success,11.040999999999997,96.6728694968939,world_181.world,6.068192516406161,0.5
baseline,8,0,0.015773181144106894,-1.3762793586169875,success,10.497,98.52612709011896,world_181.world,6.068192516406161,0.5
baseline,9,0,2.8328603872916754e-07,-2.247345588923047,success,11.594000000000008,93.70545797856295,world_181.world,6.068192516406161,0.5
baseline,10,0,0.05459797281667448,-1.5767984761121159,success,11.38900000000001,96.29559282955486,world_181.world,6.068192516406161,0.5
baseline,11,0,0.02816928783963723,-2.1758996792790977,success,11.918000000000006,95.05604728767915,world_181.world,6.068192516406161,0.5
baseline,12,0,2.949851637211907e-07,-1.5814010946015606,success,11.081999999999994,97.45323464694764,world_181.world,6.068192516406161,0.5
baseline,13,0,0.0028013997755182703,-2.2095022328271754,success,11.687999999999988,95.75387934197016,world_181.world,6.068192516406161,0.5
baseline,14,0,3.4364249359364486e-07,-1.2845176073639577,success,9.60299999999998,101.86748269144005,world_181.world,6.068192516406161,0.5
baseline,15,0,0.0059883215603827675,-1.760126831199884,success,10.961000000000013,97.43475843541714,world_181.world,6.068192516406161,0.5
baseline,16,0,3.115263827020615e-07,-1.6759116136852719,success,10.579999999999984,97.09211429614982,world_181.world,6.068192516406161,0.5
baseline,17,0,0.012084890608794379,-1.7112074987375658,success,10.980999999999995,96.98238448518927,world_181.world,6.068192516406161,0.5
baseline,18,0,0.012384206692196071,-1.6987201645478471,success,10.595000000000027,99.82629928320463,world_181.world,6.068192516406161,0.5
baseline,19,0,3.194887158183017e-07,-1.2245950343949656,success,10.256,100.37250471723604,world_181.world,6.068192516406161,0.5
baseline,20,0,0.02029013904633651,-1.516418719501535,success,11.48599999999999,96.28862661935739,world_181.world,6.068192516406161,0.5
