Wall time,Step,Value
1756310049.2166862,0,95.65217590332031
1756310215.6347024,1036,92.63157653808594
1756310379.331093,2082,93.79310607910156
1756310549.7433896,3124,94.35897064208984
1756310722.0475364,4166,95.0
1756310894.819288,5198,95.4385986328125
1756311061.1135094,6227,95.50897979736328
1756311227.3539324,7263,95.71428680419922
1756311383.498501,8291,96.85713958740234
1756311555.3155413,9337,96.85713958740234
1756311709.9954743,10376,96.0
1756311872.0006907,11419,96.28571319580078
1756312042.7465851,12457,96.28571319580078
1756312214.5730467,13495,96.0
1756312382.1799634,14535,96.28571319580078
1756312548.951185,15560,96.28571319580078
1756312717.9583557,16588,96.28571319580078
1756312889.993302,17628,97.14286041259766
1756313061.1070173,18666,97.71428680419922
1756313232.69721,19713,97.71428680419922
1756313404.156157,20753,98.0
