rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
72,217,12.001700000000003,0.46456786234641523,5.525273994612045,11.05054798922409,100.0,20,20,100.0,,,,
73,120,11.998700000000001,0.4805515660915119,5.724237989794743,11.448475979589485,100.0,20,20,100.0,,,,
74,266,11.979450000000002,0.48775474557182247,6.5637547615641925,13.127509523128385,100.0,20,20,100.0,,,,
75,272,11.952450000000002,0.45236676581822755,5.4016553203762765,10.803310640752553,100.0,20,20,100.0,,,,
76,78,11.935550000000001,0.484635846450975,6.5219263118779,13.0438526237558,100.0,20,20,100.0,,,,
77,192,11.9168,0.4812153521913601,5.5560604820501975,11.112120964100395,100.0,20,20,100.0,,,,
78,227,11.902449999999998,0.4636341664183362,5.37444562479517,10.74889124959034,100.0,20,20,100.0,,,,
79,179,11.881150000000002,0.46235191345186005,5.414412288743993,10.828824577487985,100.0,20,20,100.0,,,,
80,171,11.855800000000002,0.4837747767815014,5.664814019292196,11.329628038584392,100.0,20,20,100.0,,,,
81,252,11.852800000000002,0.4678776673213002,5.14146402628182,10.28292805256364,95.0,20,19,95.0,,,1.0,5.0
82,30,11.8495,0.49185566492622623,5.9229714452527285,11.845942890505457,100.0,20,20,100.0,,,,
83,21,11.8301,0.4846569085427763,5.731952471473693,11.463904942947385,100.0,20,20,100.0,,,,
84,211,11.749000000000002,0.4556083946743894,5.2440757777278915,10.488151555455783,100.0,20,20,100.0,,,,
85,237,11.747450000000002,0.4808745575600585,5.684875091065381,11.369750182130762,100.0,20,20,100.0,,,,
86,279,11.696699999999998,0.4869402264191275,6.347424364408184,12.694848728816368,100.0,20,20,100.0,,,,
87,183,11.692800000000002,0.47474177908915893,5.461854517562456,10.923709035124912,100.0,20,20,100.0,,,,
88,182,11.6168,0.4653073345092437,5.402161078590224,10.804322157180447,100.0,20,20,100.0,,,,
89,137,11.616350000000002,0.4750657382767975,5.516602393555416,11.033204787110831,100.0,20,20,100.0,,,,
90,235,11.5849,0.47477996241030523,5.566901299308737,11.133802598617473,100.0,20,20,100.0,,,,
91,232,11.576899999999997,0.5,6.119142001369435,12.23828400273887,100.0,20,20,100.0,,,,
92,126,11.575249999999999,0.4758469699258433,5.517015950475825,11.03403190095165,100.0,20,20,100.0,,,,
93,143,11.5517,0.4875976154350458,5.642884081470068,11.285768162940135,100.0,20,20,100.0,,,,
94,45,11.522799999999995,0.47338268442085607,5.946591458837402,11.893182917674803,100.0,20,20,100.0,,,,
95,293,11.5085,0.4854431027612959,5.679764129926982,11.359528259853963,100.0,20,20,100.0,,,,
96,173,11.48975,0.4306208141452072,5.219482156090008,10.438964312180016,95.0,20,19,95.0,1.0,5.0,,
97,298,11.484200000000001,0.49325049520699943,5.7362023465473,11.4724046930946,100.0,20,20,100.0,,,,
98,181,11.466949999999997,0.49916212198357374,6.06819251640616,12.13638503281232,100.0,20,20,100.0,,,,
99,177,11.4185,0.48515773543058927,6.631985462631741,13.263970925263482,100.0,20,20,100.0,,,,
100,204,11.3858,0.5,6.837358092959306,13.674716185918612,100.0,20,20,100.0,,,,
101,194,11.362000000000002,0.4829533488591613,5.4920409860983455,10.984081972196691,100.0,20,20,100.0,,,,
102,185,11.34365,0.48543809460270004,5.576206458056356,11.152412916112713,100.0,20,20,100.0,,,,
103,132,11.32235,0.4796919162410734,5.431775869548867,10.863551739097733,100.0,20,20,100.0,,,,
104,208,11.319999999999997,0.4977205002871526,5.8919794257796205,11.783958851559241,100.0,20,20,100.0,,,,
105,148,11.27335,0.474599687118924,5.504351468332604,11.008702936665207,100.0,20,20,100.0,,,,
106,118,11.273,0.49025021164896554,5.745496015317659,11.490992030635319,100.0,20,20,100.0,,,,
107,250,11.221900000000002,0.4694622588096551,5.259012640350205,10.51802528070041,100.0,20,20,100.0,,,,
108,157,11.211349999999998,0.5,6.21686798386368,12.43373596772736,100.0,20,20,100.0,,,,
109,210,11.20975,0.4703740070824673,5.27451326740555,10.5490265348111,100.0,20,20,100.0,,,,
110,109,11.20895,0.48406823294357587,5.606741090037601,11.213482180075202,100.0,20,20,100.0,,,,
