rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
19,292,13.668300000000002,0.4365153916557568,8.361463272894046,16.72292654578809,95.0,20,19,95.0,1.0,5.0,,
20,112,13.351199999999995,0.4794220904304661,8.422342993060997,16.844685986121995,100.0,20,20,100.0,,,,
21,279,13.270599999999998,0.46855347408352443,8.845363347015981,17.690726694031962,100.0,20,20,100.0,,,,
22,285,13.2009,0.49518614765941854,8.078900016252494,16.157800032504987,100.0,20,20,100.0,,,,
23,219,13.118400000000003,0.4665444089785808,8.55262016688591,17.10524033377182,95.0,20,19,95.0,1.0,5.0,,
24,273,13.072399999999993,0.43472172227819994,8.295293525994884,16.59058705198977,95.0,20,19,95.0,1.0,5.0,,
25,117,12.908000000000005,0.47183960183601836,8.47712593274454,16.95425186548908,100.0,20,20,100.0,,,,
26,138,12.90779999999999,0.4879015760927256,9.048649408393999,18.097298816787998,100.0,20,20,100.0,,,,
27,265,12.878900000000005,0.4857052301033031,8.68694447036071,17.37388894072142,100.0,20,20,100.0,,,,
28,255,12.651500000000002,0.4715999549875637,8.234334840359,16.468669680718,95.0,20,19,95.0,1.0,5.0,,
29,283,12.579400000000001,0.46812493800740046,8.311734071433687,16.623468142867374,95.0,20,19,95.0,1.0,5.0,,
30,197,12.568799999999998,0.4951110669820088,7.904051545269103,15.808103090538205,100.0,20,20,100.0,,,,
31,137,12.523300000000003,0.44442102477367057,7.989421171392584,15.978842342785168,90.0,20,18,90.0,2.0,10.0,,
32,287,12.454699999999999,0.49605845149360206,8.847497810521983,17.694995621043965,100.0,20,20,100.0,,,,
33,181,12.452099999999998,0.485529654555615,8.566131499013956,17.13226299802791,100.0,20,20,100.0,,,,
34,99,12.4342,0.4933448320768303,8.123825436903507,16.247650873807014,100.0,20,20,100.0,,,,
35,264,12.415000000000001,0.4310223769799473,8.466781771013933,16.933563542027866,90.0,20,18,90.0,2.0,10.0,,
36,157,12.3465,0.45,8.711158866468768,17.422317732937536,90.0,20,18,90.0,2.0,10.0,,
37,180,12.3453,0.4871376814818733,8.177027534334849,16.354055068669698,100.0,20,20,100.0,,,,
38,228,12.342499999999998,0.5,8.727747076655783,17.455494153311566,100.0,20,20,100.0,,,,
39,238,12.224000000000004,0.4497499002538947,8.278999464657996,16.557998929315993,100.0,20,20,100.0,,,,
40,207,12.178099999999997,0.4970467470549044,7.979599629052132,15.959199258104263,100.0,20,20,100.0,,,,
41,132,12.140200000000002,0.4979839061612908,7.882100778953058,15.764201557906116,100.0,20,20,100.0,,,,
42,58,12.131299999999996,0.4728953691835346,8.9804673938838,17.9609347877676,100.0,20,20,100.0,,,,
43,299,12.127199999999997,0.46569344332827284,7.894336686383634,15.788673372767269,95.0,20,19,95.0,1.0,5.0,,
44,280,12.0945,0.5,8.853620965466657,17.707241930933314,100.0,20,20,100.0,,,,
45,214,12.075000000000003,0.48897491718599684,8.452165295482029,16.904330590964058,100.0,20,20,100.0,,,,
46,176,12.035999999999998,0.5,7.904051545269101,15.808103090538202,100.0,20,20,100.0,,,,
47,297,11.9517,0.472198297873874,8.52148258782277,17.04296517564554,95.0,20,19,95.0,,,1.0,5.0
48,262,11.919899999999997,0.48703400872698543,7.994432677510962,15.988865355021924,100.0,20,20,100.0,,,,
49,281,11.8737,0.5,8.749209458056024,17.498418916112048,100.0,20,20,100.0,,,,
50,182,11.846300000000005,0.4704596964320835,7.824190449433989,15.648380898867979,100.0,20,20,100.0,,,,
51,185,11.73500000000001,0.48877354796965183,8.057886598436891,16.115773196873782,100.0,20,20,100.0,,,,
52,298,11.716999999999995,0.5,8.106571309300643,16.213142618601285,100.0,20,20,100.0,,,,
53,240,11.680800000000001,0.4716601225047352,8.82925314679375,17.6585062935875,100.0,20,20,100.0,,,,
54,268,11.6368,0.4866419135988771,7.9633017399039305,15.926603479807861,100.0,20,20,100.0,,,,
55,224,11.626800000000006,0.5,7.925161069339819,15.850322138679639,100.0,20,20,100.0,,,,
56,254,11.6072,0.46296682006976286,8.33224593736164,16.66449187472328,95.0,20,19,95.0,1.0,5.0,,
57,163,11.587800000000001,0.4897293383387916,8.233110957850986,16.466221915701972,100.0,20,20,100.0,,,,
58,175,11.581599999999998,0.5,8.176898375573705,16.35379675114741,100.0,20,20,100.0,,,,
59,230,11.571000000000002,0.5,8.11173270947694,16.22346541895388,100.0,20,20,100.0,,,,
60,222,11.528000000000002,0.4856770318891308,8.021585765581815,16.04317153116363,100.0,20,20,100.0,,,,
61,256,11.504199999999997,0.44595599531579183,7.793534657942992,15.587069315885984,90.0,20,18,90.0,2.0,10.0,,
62,62,11.4941,0.475,8.380835960216647,16.761671920433294,95.0,20,19,95.0,1.0,5.0,,
63,241,11.470899999999995,0.4632320691226699,8.108347316989619,16.216694633979237,95.0,20,19,95.0,1.0,5.0,,
