rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
54,190,12.167699999999996,0.4574295038352812,5.482115704255462,10.964231408510924,100.0,20,20,100.0,,,,
55,138,12.165900000000004,0.49681446542640834,6.678280445640657,13.356560891281314,100.0,20,20,100.0,,,,
56,298,12.147650000000002,0.48216292073427647,5.7362023465473,11.4724046930946,100.0,20,20,100.0,,,,
57,214,12.1247,0.48457925199971663,5.954226312874237,11.908452625748474,100.0,20,20,100.0,,,,
58,292,12.071800000000001,0.4790848235722683,5.972777868289259,11.945555736578518,100.0,20,20,100.0,,,,
59,211,12.059100000000004,0.45910192915600534,5.2440757777278915,10.488151555455783,100.0,20,20,100.0,,,,
60,297,12.030600000000002,0.4906153520551995,6.099453216979006,12.198906433958012,100.0,20,20,100.0,,,,
61,188,11.990350000000001,0.47771502817434747,5.576075078062962,11.152150156125924,100.0,20,20,100.0,,,,
62,241,11.988249999999999,0.4716615205524647,5.635528539152456,11.271057078304912,100.0,20,20,100.0,,,,
63,238,11.962100000000001,0.44734590396263696,5.781060482050197,11.562120964100394,95.0,20,19,95.0,1.0,5.0,,
64,216,11.92395,0.4736774357544782,5.592854660904658,11.185709321809316,100.0,20,20,100.0,,,,
65,137,11.85485,0.4701531569484542,5.516602393555416,11.033204787110831,100.0,20,20,100.0,,,,
66,240,11.849750000000002,0.49603596076650563,6.392396232029949,12.784792464059898,100.0,20,20,100.0,,,,
67,185,11.836650000000002,0.4755290404784581,5.576206458056356,11.152412916112713,100.0,20,20,100.0,,,,
68,272,11.762799999999999,0.46027081351078963,5.4016553203762765,10.803310640752553,100.0,20,20,100.0,,,,
69,199,11.749300000000002,0.4852140844468151,5.970408743418096,11.940817486836192,100.0,20,20,100.0,,,,
70,60,11.743599999999997,0.45395280512874897,5.468868094606092,10.937736189212185,100.0,20,20,100.0,,,,
71,262,11.717350000000001,0.43255926026185787,5.500141794905875,11.00028358981175,95.0,20,19,95.0,1.0,5.0,,
72,289,11.65025,0.4932834820350582,6.191518356352117,12.383036712704234,100.0,20,20,100.0,,,,
73,127,11.636350000000002,0.4734626283661261,5.732350137242944,11.464700274485889,100.0,20,20,100.0,,,,
74,33,11.620500000000002,0.4994139391780979,6.251921544727312,12.503843089454625,100.0,20,20,100.0,,,,
75,231,11.616299999999999,0.49237313666104604,5.843135561291972,11.686271122583944,100.0,20,20,100.0,,,,
76,152,11.61355,0.4704536587656519,5.661944276335883,11.323888552671766,100.0,20,20,100.0,,,,
77,157,11.5869,0.4883984223790165,6.21686798386368,12.43373596772736,100.0,20,20,100.0,,,,
78,30,11.565949999999999,0.49062304923136424,5.9229714452527285,11.845942890505457,100.0,20,20,100.0,,,,
79,235,11.455050000000002,0.449783391993801,5.566901299308737,11.133802598617473,95.0,20,19,95.0,1.0,5.0,,
80,120,11.422999999999996,0.45596939361198663,5.724237989794743,11.448475979589485,95.0,20,19,95.0,1.0,5.0,,
81,277,11.3454,0.4759519144470573,5.464293112946189,10.928586225892378,100.0,20,20,100.0,,,,
82,132,11.3425,0.47855228392457894,5.431775869548867,10.863551739097733,100.0,20,20,100.0,,,,
83,154,11.328250000000002,0.469873896670853,5.317135058388826,10.634270116777651,100.0,20,20,100.0,,,,
84,221,11.324299999999997,0.5,6.1569437433719285,12.313887486743857,100.0,20,20,100.0,,,,
85,194,11.269949999999998,0.48480887896191166,5.4920409860983455,10.984081972196691,100.0,20,20,100.0,,,,
86,224,11.26615,0.46038942145322803,5.4748361599356254,10.949672319871251,95.0,20,19,95.0,1.0,5.0,,
87,171,11.256100000000002,0.4911542897108438,5.664814019292196,11.329628038584392,100.0,20,20,100.0,,,,
88,279,11.2518,0.46982454982949645,6.347424364408184,12.694848728816368,95.0,20,19,95.0,1.0,5.0,,
89,217,11.239499999999996,0.48678018098072096,5.525273994612045,11.05054798922409,100.0,20,20,100.0,,,,
90,126,11.208749999999998,0.48433488755469883,5.517015950475825,11.03403190095165,100.0,20,20,100.0,,,,
91,162,11.2024,0.4761789496385779,5.4197468098349,10.8394936196698,100.0,20,20,100.0,,,,
92,204,11.201149999999998,0.5,6.837358092959306,13.674716185918612,100.0,20,20,100.0,,,,
93,244,11.1736,0.4797537969681012,5.388813119784791,10.777626239569582,100.0,20,20,100.0,,,,
94,143,11.166850000000002,0.4910416824943115,5.642884081470068,11.285768162940135,100.0,20,20,100.0,,,,
95,267,11.1564,0.4876450255579033,5.4625988939761045,10.925197787952209,100.0,20,20,100.0,,,,
96,250,11.132200000000001,0.47042093943525065,5.259012640350205,10.51802528070041,100.0,20,20,100.0,,,,
97,266,11.095749999999999,0.5,6.5637547615641925,13.127509523128385,100.0,20,20,100.0,,,,
98,66,11.091600000000001,0.46913158037025254,5.3373307843760305,10.674661568752061,100.0,20,20,100.0,,,,
99,296,11.049100000000001,0.4742610935842756,5.658983101641883,11.317966203283765,100.0,20,20,100.0,,,,
100,103,11.041049999999998,0.4889903806058135,5.560536376377432,11.121072752754865,100.0,20,20,100.0,,,,
101,181,10.987849999999998,0.49974793032792075,6.06819251640616,12.13638503281232,100.0,20,20,100.0,,,,
102,175,10.962950000000003,0.4959968077131012,5.788212970968919,11.576425941937838,100.0,20,20,100.0,,,,
103,228,10.955400000000003,0.48596056422869127,6.277422167251589,12.554844334503178,100.0,20,20,100.0,,,,
104,268,10.930550000000002,0.4905319657656177,5.500960793625028,11.001921587250056,100.0,20,20,100.0,,,,
105,248,10.920100000000003,0.48788165818807255,5.529940871234051,11.059881742468102,100.0,20,20,100.0,,,,
106,208,10.918700000000001,0.5,5.8919794257796205,11.783958851559241,100.0,20,20,100.0,,,,
107,118,10.918549999999998,0.49879087376943126,5.745496015317659,11.490992030635319,100.0,20,20,100.0,,,,
108,253,10.8984,0.48366454192358044,5.299060549623293,10.598121099246587,100.0,20,20,100.0,,,,
109,187,10.81415,0.48637989070438914,5.470959503388642,10.941919006777283,100.0,20,20,100.0,,,,
110,122,10.801200000000001,0.47789302972190795,5.739814019292195,11.47962803858439,100.0,20,20,100.0,,,,
111,151,10.777049999999997,0.4565674965037615,5.496615967758248,10.993231935516496,95.0,20,19,95.0,1.0,5.0,,
112,163,10.77215,0.013775350929943869,5.770770011572085,11.54154002314417,5.0,20,1,5.0,19.0,95.0,,
113,290,10.676649999999999,0.5,5.786788643726676,11.573577287453352,100.0,20,20,100.0,,,,
114,144,10.6738,0.4595931335794091,5.495522502300335,10.99104500460067,95.0,20,19,95.0,1.0,5.0,,
115,142,10.665849999999999,0.47183295164898453,5.544723504353568,11.089447008707136,100.0,20,20,100.0,,,,
116,172,10.633699999999997,0.4824803922129323,5.354709637270391,10.709419274540782,100.0,20,20,100.0,,,,
117,80,10.605200000000004,0.49074250961985433,5.566384915715903,11.132769831431807,100.0,20,20,100.0,,,,
118,192,10.582799999999999,0.4969649303622493,5.5560604820501975,11.112120964100395,100.0,20,20,100.0,,,,
119,114,10.579999999999998,0.5,6.2321347140871515,12.464269428174303,100.0,20,20,100.0,,,,
120,78,10.57045,0.475,6.5219263118779,13.0438526237558,95.0,20,19,95.0,1.0,5.0,,
121,259,10.502650000000001,0.47920597467345216,5.550108213208152,11.100216426416305,100.0,20,20,100.0,,,,
122,179,10.50145,0.49773304367719906,5.414412288743993,10.828824577487985,100.0,20,20,100.0,,,,
123,16,10.49005,0.5,5.913680792656917,11.827361585313835,100.0,20,20,100.0,,,,
124,136,10.4706,0.49895584741376914,5.517072905590015,11.03414581118003,100.0,20,20,100.0,,,,
125,184,10.46785,0.5,6.098245689977257,12.196491379954514,100.0,20,20,100.0,,,,
126,167,10.429549999999999,0.4840057352299089,6.100845274149508,12.201690548299016,100.0,20,20,100.0,,,,
