Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,3.773583481666611e-07,-0.6722499231619327,success,8.638,126.72239370442497,world_6.world,8.732012906001636,0.5
baseline,2,0,0.0040654455018514215,-0.7878039706220126,success,8.386000000000003,125.96886043367405,world_6.world,8.732012906001636,0.5
baseline,3,0,4.048581356849653e-07,-0.6265649027641353,success,8.337,122.75181625377698,world_6.world,8.732012906001636,0.5
baseline,4,0,4.115224643940476e-07,-0.8166005632009468,success,8.372,125.42562163437283,world_6.world,8.732012906001636,0.5
baseline,5,0,4.065038997951627e-07,-0.6594733353699762,success,8.349000000000004,125.73918303659023,world_6.world,8.732012906001636,0.5
baseline,6,0,3.9215670895815336e-07,-0.6971175546128286,success,8.447000000000003,126.33116430487196,world_6.world,8.732012906001636,0.5
baseline,7,0,4.2194075023597036e-07,-0.5646710284005034,success,7.956000000000003,119.31531356231959,world_6.world,8.732012906001636,0.5
baseline,8,0,4.2194075023597036e-07,-0.7545641779457544,success,8.061999999999998,118.41944160768428,world_6.world,8.732012906001636,0.5
baseline,9,0,4.0322564386062747e-07,-0.6678021775168737,success,8.432000000000002,123.95388396080907,world_6.world,8.732012906001636,0.5
baseline,10,0,0.0040820391501881015,-0.7270084680843506,success,8.421000000000006,124.61508108023173,world_6.world,8.732012906001636,0.5
baseline,11,0,4.0322564386062747e-07,-0.7116150568641426,success,8.361999999999995,122.50518856153961,world_6.world,8.732012906001636,0.5
baseline,12,0,4.081630987089393e-07,-0.5992859654860314,success,8.379999999999995,123.70185062931179,world_6.world,8.732012906001636,0.5
baseline,13,0,0.007968522721704096,-0.7124612952625031,success,8.384999999999991,123.52269915232984,world_6.world,8.732012906001636,0.5
baseline,14,0,3.99999840000064e-07,-0.8401317722222301,success,8.438999999999993,125.21753732863138,world_6.world,8.732012906001636,0.5
baseline,15,0,3.99999840000064e-07,-0.6595773341478791,success,8.390999999999991,124.64395194200172,world_6.world,8.732012906001636,0.5
baseline,16,0,4.132229697425745e-07,-0.6019466750184717,success,8.382000000000005,122.79016078145962,world_6.world,8.732012906001636,0.5
baseline,17,0,0.004184517077607917,-0.6578323728335111,success,8.430000000000007,124.86200888160029,world_6.world,8.732012906001636,0.5
baseline,18,0,4.098358976082387e-07,-0.6281398843000355,success,8.313000000000017,124.55587045502692,world_6.world,8.732012906001636,0.5
baseline,19,0,4.098358976082387e-07,-0.7187254824925865,success,8.370000000000005,123.02200874021884,world_6.world,8.732012906001636,0.5
baseline,20,0,3.9525676076807874e-07,-0.5982335735111014,success,8.531999999999982,126.01170258955644,world_6.world,8.732012906001636,0.5
