Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,3.8167924363387654e-07,-0.8198337560614772,success,8.042000000000002,120.41043557207695,world_23.world,8.20981909622473,0.5
baseline,2,0,3.9370063240132585e-07,-0.833145459425592,success,7.944000000000003,119.11690395491539,world_23.world,8.20981909622473,0.5
baseline,3,0,3.3003289437858277e-07,-1.1694016489469037,success,9.531000000000002,119.2449123916878,world_23.world,8.20981909622473,0.5
baseline,4,0,4.081630987089393e-07,-0.8051660894420936,success,7.9339999999999975,119.04551994967437,world_23.world,8.20981909622473,0.5
baseline,5,0,3.448274673008734e-07,-0.980608711221775,success,9.432000000000002,119.6655599635263,world_23.world,8.20981909622473,0.5
baseline,6,0,4.0322564386062747e-07,-0.7189393228795629,success,7.927,120.30434323648181,world_23.world,8.20981909622473,0.5
baseline,7,0,0.007722390840775739,-0.7850702188482787,success,8.437999999999995,124.5944145493798,world_23.world,8.20981909622473,0.5
baseline,8,0,4.115224643940476e-07,-0.7473151372692758,success,7.855000000000004,119.41158265487182,world_23.world,8.20981909622473,0.5
baseline,9,0,3.558717594762422e-07,-0.8532959707184304,success,9.015999999999991,118.13256388750155,world_23.world,8.20981909622473,0.5
baseline,10,0,3.8314161565455346e-07,-0.7868453973384332,success,8.426000000000002,124.02443206717498,world_23.world,8.20981909622473,0.5
baseline,11,0,3.623187093048155e-07,-0.9040989144760124,success,8.942000000000007,116.28962112587391,world_23.world,8.20981909622473,0.5
baseline,12,0,0.0068496551884742515,-1.0690979112697958,success,9.36099999999999,119.5166273507069,world_23.world,8.20981909622473,0.5
baseline,13,0,3.333332222222593e-07,-0.9216834401324934,success,9.472999999999999,120.55544346671029,world_23.world,8.20981909622473,0.5
baseline,14,0,3.367002233332582e-07,-1.086475360681979,success,9.46499999999999,121.71933154880728,world_23.world,8.20981909622473,0.5
baseline,15,0,0.004202099074748288,-0.7625148059163245,success,7.927999999999997,118.54935598722543,world_23.world,8.20981909622473,0.5
baseline,16,0,3.9525676076807874e-07,-0.8192362167843459,success,8.304000000000002,124.5551133012459,world_23.world,8.20981909622473,0.5
baseline,17,0,3.891049069630713e-07,-0.7318481459227587,success,8.382000000000005,126.37531701684952,world_23.world,8.20981909622473,0.5
baseline,18,0,0.0038763550866840754,-0.8625110066370344,success,8.338000000000022,125.11741201964219,world_23.world,8.20981909622473,0.5
baseline,19,0,4.1840986677411436e-07,-0.7393424630890576,success,7.909999999999997,119.85616105598953,world_23.world,8.20981909622473,0.5
baseline,20,0,3.9062484741216903e-07,-0.746690158469513,success,8.431000000000012,120.63056613678195,world_23.world,8.20981909622473,0.5
