Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,0.02717417739832136,-1.111436639870118,success,11.28,117.05110917681556,world_177.world,9.120841997068766,0.5
baseline,2,0,3.521125520730451e-07,-1.117058416855135,success,9.866,114.04853583406795,world_177.world,9.120841997068766,0.5
baseline,3,0,0.046875297851469426,-1.4016592288943526,success,10.979000000000003,114.96428492400129,world_177.world,9.120841997068766,0.5
baseline,4,0,0.03344513931600692,-1.9496565246622242,success,10.047000000000004,114.16031455881867,world_177.world,9.120841997068766,0.5
baseline,5,0,3.367002233332582e-07,-1.2587588252134856,success,10.038000000000004,115.96999021183511,world_177.world,9.120841997068766,0.5
baseline,6,0,3.278687449610673e-07,-1.1514332860486403,success,10.39,117.15622377834208,world_177.world,9.120841997068766,0.5
baseline,7,0,3.257327929209144e-07,-1.3828349301739635,success,10.469000000000008,116.83211831376856,world_177.world,9.120841997068766,0.5
baseline,8,0,3.105589097643138e-07,-1.4900316164107898,success,10.911000000000001,106.78371525509617,world_177.world,9.120841997068766,0.5
baseline,9,0,3.448274673008734e-07,-1.1836469852244813,success,9.953000000000003,110.57981208178198,world_177.world,9.120841997068766,0.5
baseline,10,0,3.1446530991656923e-07,-1.6104231321015423,success,10.968999999999994,108.87098732864487,world_177.world,9.120841997068766,0.5
baseline,11,0,0.003115575353403317,-1.0192665934569658,success,11.044000000000011,114.00235730602898,world_177.world,9.120841997068766,0.5
baseline,12,0,3.4246563614190546e-07,-1.4835418230319581,success,9.887999999999991,112.13398454965618,world_177.world,9.120841997068766,0.5
baseline,13,0,0.006369743194349302,-1.7712376374490497,success,11.039999999999992,111.45227049593686,world_177.world,9.120841997068766,0.5
baseline,14,0,3.3898293593798786e-07,-1.2905002509138654,success,9.978999999999985,112.96646352099121,world_177.world,9.120841997068766,0.5
baseline,15,0,0.265795366929114,-7.73784343052676,success,16.079000000000008,91.31357611595493,world_177.world,9.120841997068766,0.5
baseline,16,0,3.2362449073641083e-07,-1.2944969439279388,success,10.5,114.78733628719091,world_177.world,9.120841997068766,0.5
baseline,17,0,3.333332222222593e-07,-1.7112188247043991,success,10.310999999999979,111.94099587347401,world_177.world,9.120841997068766,0.5
baseline,18,0,0.04953589797650218,-1.1868334769185787,success,10.949999999999989,114.715721221343,world_177.world,9.120841997068766,0.5
baseline,19,0,0.003125311523340149,-1.1797638279566898,success,10.927999999999997,111.24243549043598,world_177.world,9.120841997068766,0.5
baseline,20,0,0.003436768578430042,-1.1945011997681212,success,10.037000000000006,111.16572500620349,world_177.world,9.120841997068766,0.5
