Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,0.3388890113168498,-13.40745813455994,success,18.273,82.11448572125016,world_142.world,8.033580038790593,0.4396420970169426
baseline,2,0,3.5335676559831607e-07,-0.43163770355707,success,9.520000000000003,118.17800678895145,world_142.world,8.033580038790593,0.5
baseline,3,0,0.05693983738795823,-0.43006830090622905,success,9.383000000000003,114.52002389872256,world_142.world,8.033580038790593,0.5
baseline,4,0,3.636362314050068e-07,-0.4621712078450382,success,9.484000000000002,115.5443279447526,world_142.world,8.033580038790593,0.5
baseline,5,0,3.6101069999613724e-07,-0.5296640842054402,success,9.393,113.85650999597098,world_142.world,8.033580038790593,0.5
baseline,6,0,0.012820829224093198,-0.863848208183346,success,10.588999999999999,115.9120725773732,world_142.world,8.033580038790593,0.5
baseline,7,0,3.344480486795824e-07,-1.574281567109484,success,10.013999999999996,112.36919990587212,world_142.world,8.033580038790593,0.5
baseline,8,0,3.5971210082298534e-07,-0.627379290532592,success,9.424999999999997,112.74597471359411,world_142.world,8.033580038790593,0.5
baseline,9,0,0.003484667775377082,-0.5225702864505769,success,9.971000000000004,119.92378991244564,world_142.world,8.033580038790593,0.5
baseline,10,0,3.5971210082298534e-07,-0.7269881231830192,success,9.491,113.13553280982434,world_142.world,8.033580038790593,0.5
baseline,11,0,0.06849346969401723,-0.962266679624332,success,9.988,114.81153049732752,world_142.world,8.033580038790593,0.5
baseline,12,0,0.003378715074758421,-0.5134402353307717,success,9.887,120.85538390794405,world_142.world,8.033580038790593,0.5
baseline,13,0,0.003496851924177649,-1.0922205794602373,success,9.984999999999985,115.91414675674358,world_142.world,8.033580038790593,0.5
baseline,14,0,3.5335676559831607e-07,-0.576113334682156,success,9.681000000000012,119.67878780138287,world_142.world,8.033580038790593,0.5
baseline,15,0,0.017007137072402357,-0.5113151222649331,success,9.957000000000022,118.18440019960762,world_142.world,8.033580038790593,0.5
baseline,16,0,0.04347858077639439,-1.0270527972927408,success,10.033999999999992,113.78221429411884,world_142.world,8.033580038790593,0.5
baseline,17,0,3.5971210082298534e-07,-0.6748794705749697,success,9.412000000000006,114.8799248174797,world_142.world,8.033580038790593,0.5
baseline,18,0,3.5714272959188236e-07,-0.4681944299586248,success,9.468000000000018,114.03017989745655,world_142.world,8.033580038790593,0.5
baseline,19,0,3.278687449610673e-07,-1.1881981855824442,success,10.460000000000008,115.9304512858341,world_142.world,8.033580038790593,0.5
baseline,20,0,3.4965022739502545e-07,-0.6614967025361038,success,9.89700000000002,119.8574912188448,world_142.world,8.033580038790593,0.5
