Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,0.002577576655263749,-2.09293894563054,success,11.735000000000001,112.96701037775375,world_190.world,7.954934482092629,0.5
baseline,2,0,3.1249990234378054e-07,-1.831412986591963,success,10.571000000000002,111.48755022258162,world_190.world,7.954934482092629,0.5
baseline,3,0,0.6372340811453105,-6.996881440887739,success,31.662999999999997,30.398594107973928,world_190.world,7.954934482092629,0.2512375479926927
baseline,4,0,0.025496026771663804,-2.4915179954829543,success,11.465000000000003,105.38618123705518,world_190.world,7.954934482092629,0.5
baseline,5,0,0.2509364698620843,-8.717479238716074,success,18.143,81.81115015696508,world_190.world,7.954934482092629,0.4384575032846072
baseline,6,0,3.012047285527926e-07,-1.852661569361773,success,11.031000000000006,113.93260768642175,world_190.world,7.954934482092629,0.5
baseline,7,0,2.8011196635519154e-07,-1.647899125072311,success,11.965000000000003,109.13173697739728,world_190.world,7.954934482092629,0.5
baseline,8,0,0.052478410356148586,-1.1801470688469042,success,11.433999999999997,111.12128127858463,world_190.world,7.954934482092629,0.5
baseline,9,0,3.1446530991656923e-07,-1.746486282167163,success,10.194000000000003,112.50198994307397,world_190.world,7.954934482092629,0.5
baseline,10,0,2.57069342655696e-07,-2.5608838445343087,success,12.536000000000001,110.14074207834376,world_190.world,7.954934482092629,0.5
baseline,11,0,0.025641303236095946,-1.5832890312995298,success,11.47399999999999,111.33653564756057,world_190.world,7.954934482092629,0.5
baseline,12,0,0.05806481997909033,-1.1343719911029033,success,10.550000000000011,115.7398897057247,world_190.world,7.954934482092629,0.5
baseline,13,0,3.194887158183017e-07,-1.20684211439172,success,10.477000000000004,114.1194728630932,world_190.world,7.954934482092629,0.5
baseline,14,0,2.949851637211907e-07,-2.3473194119479763,success,11.391999999999996,112.2246044627226,world_190.world,7.954934482092629,0.5
baseline,15,0,0.22125830341468475,-7.680081525895777,success,15.467000000000013,96.25508802005085,world_190.world,7.954934482092629,0.5
baseline,16,0,0.19904095946259967,-7.630042522874001,success,14.164999999999992,99.09996241174593,world_190.world,7.954934482092629,0.5
baseline,17,0,3.095974273692176e-07,-1.524541199187259,success,10.938000000000017,114.37458536877077,world_190.world,7.954934482092629,0.5
baseline,18,0,3.1847123615565734e-07,-1.2459827177985703,success,10.384999999999991,110.84417662649405,world_190.world,7.954934482092629,0.5
baseline,19,0,0.017143137959103442,-1.8966573047372355,success,11.587999999999994,107.3597050468047,world_190.world,7.954934482092629,0.5
baseline,20,0,2.688171320384054e-07,-2.770147316659381,success,12.457999999999998,110.0768739389649,world_190.world,7.954934482092629,0.5
