Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,2.9850737357988854e-07,-1.5624772020360393,success,10.163,120.88064046391666,world_49.world,8.305149804404973,0.5
baseline,2,0,3.54609803329857e-07,-1.2941628837624795,success,9.539000000000001,113.96794629251909,world_49.world,8.305149804404973,0.5
baseline,3,0,3.5971210082298534e-07,-1.6299979392255526,success,9.368000000000002,116.43955814674877,world_49.world,8.305149804404973,0.5
baseline,4,0,3.4722210165899254e-07,-1.318932240361283,success,9.850000000000001,121.06270501667808,world_49.world,8.305149804404973,0.5
baseline,5,0,3.401359387292726e-07,-1.4300164803846227,success,9.939,118.27503321519143,world_49.world,8.305149804404973,0.5
baseline,6,0,0.0034249988270551963,-1.5977338954045324,success,9.942999999999998,116.09579452132712,world_49.world,8.305149804404973,0.5
baseline,7,0,3.0769221301778066e-07,-1.7044599751619074,success,11.085999999999999,113.303641823627,world_49.world,8.305149804404973,0.5
baseline,8,0,3.401359387292726e-07,-1.576924168063139,success,9.847000000000008,113.6814108183965,world_49.world,8.305149804404973,0.5
baseline,9,0,3.4364249359364486e-07,-1.5331859806107353,success,9.902000000000001,114.58987723288841,world_49.world,8.305149804404973,0.5
baseline,10,0,3.3557035719115533e-07,-1.3645050299216739,success,10.027999999999992,117.909180625304,world_49.world,8.305149804404973,0.5
baseline,11,0,0.0030214492382328586,-2.0250894852508914,success,11.47999999999999,109.09592876254429,world_49.world,8.305149804404973,0.5
baseline,12,0,0.0033115883074210906,-1.3881851047495384,success,10.034999999999997,117.04083292239264,world_49.world,8.305149804404973,0.5
baseline,13,0,3.4129681184409156e-07,-1.5673577117351443,success,9.879000000000019,118.77149472221512,world_49.world,8.305149804404973,0.5
baseline,14,0,3.3112571817029206e-07,-1.4972451377052574,success,9.975000000000023,112.8134705691293,world_49.world,8.305149804404973,0.5
baseline,15,0,3.4364249359364486e-07,-1.4780814969519507,success,9.90300000000002,115.92767223765424,world_49.world,8.305149804404973,0.5
baseline,16,0,3.401359387292726e-07,-1.360087794581961,success,10.0,116.71209290476475,world_49.world,8.305149804404973,0.5
baseline,17,0,0.23433892474734927,-7.717547277730438,success,14.960000000000008,99.58845798051267,world_49.world,8.305149804404973,0.5
baseline,18,0,3.802279923087482e-07,-1.3164887019987783,success,8.916999999999973,118.97607775029991,world_49.world,8.305149804404973,0.5
baseline,19,0,0.030612574621573258,-1.4435616720604771,success,9.99199999999999,117.10535265231306,world_49.world,8.305149804404973,0.5
baseline,20,0,0.2574259263797212,-8.01984949003629,success,13.945999999999998,95.69580391367748,world_49.world,8.305149804404973,0.5
