Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,2.710026365846514e-07,-1.2172870491341734,success,12.169999999999998,111.04631932866812,world_230.world,8.11173270947694,0.5
baseline,2,0,2.9069758991349133e-07,-1.265894153933568,success,11.382000000000001,106.15513074728847,world_230.world,8.11173270947694,0.5
baseline,3,0,0.010101343400221079,-1.2585316975122405,success,9.948999999999998,112.39271582187081,world_230.world,8.11173270947694,0.5
baseline,4,0,2.8818435499009945e-07,-1.2361188103020562,success,11.585,104.94406394209516,world_230.world,8.11173270947694,0.5
baseline,5,0,2.7624301761242613e-07,-1.111204994497256,success,11.900999999999996,111.59755807933547,world_230.world,8.11173270947694,0.5
baseline,6,0,2.770082335157248e-07,-1.0744528586290323,success,11.935999999999993,108.00105510460925,world_230.world,8.11173270947694,0.5
baseline,7,0,2.8328603872916754e-07,-1.063960642639718,success,11.489000000000004,111.28418574411987,world_230.world,8.11173270947694,0.5
baseline,8,0,3.0030021012005705e-07,-1.145476615976555,success,10.969999999999999,107.71585392508399,world_230.world,8.11173270947694,0.5
baseline,9,0,0.05479477950827959,-1.5957354146110403,success,11.982,110.98851181514178,world_230.world,8.11173270947694,0.5
baseline,10,0,0.0384618026203839,-1.601845771412693,success,11.924999999999997,105.6428376892592,world_230.world,8.11173270947694,0.5
baseline,11,0,0.0028738497488937503,-1.0363436905412466,success,11.575000000000003,111.6186193489832,world_230.world,8.11173270947694,0.5
baseline,12,0,0.039106413657426356,-0.9725778784297145,success,12.087000000000018,112.86306626311897,world_230.world,8.11173270947694,0.5
baseline,13,0,2.8328603872916754e-07,-1.442644196870659,success,11.886000000000024,106.91879345717385,world_230.world,8.11173270947694,0.5
baseline,14,0,2.932550459662622e-07,-0.945154690162497,success,11.407999999999987,112.12989387203311,world_230.world,8.11173270947694,0.5
baseline,15,0,0.0060243957757844056,-1.3078931154443634,success,11.02800000000002,116.80476591846343,world_230.world,8.11173270947694,0.5
baseline,16,0,2.9850737357988854e-07,-1.3598994966569349,success,10.977000000000004,109.52432105314995,world_230.world,8.11173270947694,0.5
baseline,17,0,2.8490020373213575e-07,-0.9706344414508394,success,11.519999999999982,105.0715663759533,world_230.world,8.11173270947694,0.5
baseline,18,0,2.8818435499009945e-07,-1.3428839865943094,success,11.471000000000004,106.61251735692602,world_230.world,8.11173270947694,0.5
baseline,19,0,2.8985498844782945e-07,-1.0755447640309974,success,11.40100000000001,111.62409346282104,world_230.world,8.11173270947694,0.5
baseline,20,0,2.8985498844782945e-07,-1.1235857881513833,success,11.384000000000015,110.62109409562231,world_230.world,8.11173270947694,0.5
