Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,3.99999840000064e-07,-0.7428165066190069,success,8.052,124.22701322497583,world_135.world,7.843253633590077,0.5
baseline,2,0,4.3103429696797547e-07,-0.6166366252415022,success,7.756,122.70473733284804,world_135.world,7.843253633590077,0.5
baseline,3,0,4.366810320170166e-07,-0.7776582765569542,success,7.899999999999999,119.20135046598044,world_135.world,7.843253633590077,0.5
baseline,4,0,4.3103429696797547e-07,-0.5089449221114735,success,7.890000000000001,124.4821328457607,world_135.world,7.843253633590077,0.5
baseline,5,0,4.46428372130191e-07,-0.6238669818406206,success,7.856000000000002,123.16433583266215,world_135.world,7.843253633590077,0.5
baseline,6,0,4.255317338162835e-07,-0.6114336114968622,success,7.911999999999999,124.59871616871106,world_135.world,7.843253633590077,0.5
baseline,7,0,4.2918436515692486e-07,-0.6228723551068067,success,7.825999999999993,121.7545145012561,world_135.world,7.843253633590077,0.5
baseline,8,0,4.3103429696797547e-07,-0.6250509510159791,success,7.920000000000002,123.29925279893732,world_135.world,7.843253633590077,0.5
baseline,9,0,4.2918436515692486e-07,-0.7233379017801824,success,7.942999999999998,122.60043975082134,world_135.world,7.843253633590077,0.5
baseline,10,0,4.4444424691366805e-07,-0.5404340907887181,success,7.807000000000002,124.38635694191342,world_135.world,7.843253633590077,0.5
baseline,11,0,0.00423771006876692,-0.6328773365434605,success,8.087000000000003,126.2147055156156,world_135.world,7.843253633590077,0.5
baseline,12,0,4.4444424691366805e-07,-0.6119568011476965,success,7.903999999999996,123.87266424314775,world_135.world,7.843253633590077,0.5
baseline,13,0,4.3478241965981756e-07,-0.5887344164535224,success,7.885000000000005,124.46729374372538,world_135.world,7.843253633590077,0.5
baseline,14,0,4.366810320170166e-07,-0.5841537819539149,success,7.912999999999997,123.57054595024309,world_135.world,7.843253633590077,0.5
baseline,15,0,4.3103429696797547e-07,-0.49981720091661047,success,7.894999999999996,125.55635867767046,world_135.world,7.843253633590077,0.5
baseline,16,0,4.3103429696797547e-07,-0.686304983204284,success,8.030000000000001,126.10233711034917,world_135.world,7.843253633590077,0.5
baseline,17,0,4.329002454977292e-07,-0.5814994244961451,success,7.908999999999992,124.17425545498875,world_135.world,7.843253633590077,0.5
baseline,18,0,4.424776803196105e-07,-0.5873589828989477,success,7.948999999999984,125.51316018045725,world_135.world,7.843253633590077,0.5
baseline,19,0,4.3478241965981756e-07,-0.6546966711196466,success,7.838999999999999,124.01490673647574,world_135.world,7.843253633590077,0.5
baseline,20,0,4.2918436515692486e-07,-0.743412309847318,success,7.960999999999984,120.7022552893679,world_135.world,7.843253633590077,0.5
