Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,0.035326349096100794,-2.581293630439098,success,11.699,108.68072763327544,world_143.world,8.105225027748968,0.5
baseline,2,0,2.8985498844782945e-07,-2.055648831077924,success,11.582,107.7646447899417,world_143.world,8.105225027748968,0.5
baseline,3,0,0.0028821317342559846,-1.7475207290448789,success,11.525999999999996,113.14644499150096,world_143.world,8.105225027748968,0.5
baseline,4,0,0.0029072665967248266,-1.7204195033930456,success,11.476999999999997,113.12655679098634,world_143.world,8.105225027748968,0.5
baseline,5,0,2.9585790063375726e-07,-1.6775285223025236,success,11.44599999999999,112.58134873365343,world_143.world,8.105225027748968,0.5
baseline,6,0,0.048991628532671895,-1.434528589966316,success,11.560000000000002,107.32090074159261,world_143.world,8.105225027748968,0.5
baseline,7,0,3.0487795582989155e-07,-1.682951595111908,success,10.957999999999998,108.15240369781328,world_143.world,8.105225027748968,0.5
baseline,8,0,0.0028821317342559846,-2.1337611579881677,success,11.411000000000001,106.48912892567992,world_143.world,8.105225027748968,0.5
baseline,9,0,3.2154330496999844e-07,-1.9191834003746768,success,10.480999999999995,111.05495305233487,world_143.world,8.105225027748968,0.5
baseline,10,0,3.1446530991656923e-07,-1.7063055651449184,success,10.521,114.87339482993158,world_143.world,8.105225027748968,0.5
baseline,11,0,0.0030306051422408662,-2.1037935317920597,success,10.968999999999994,108.09234492014176,world_143.world,8.105225027748968,0.5
baseline,12,0,3.0487795582989155e-07,-1.7313521782666674,success,10.875,112.73218735056594,world_143.world,8.105225027748968,0.5
baseline,13,0,2.9411756055365867e-07,-1.6868906658168634,success,11.454000000000008,109.35010981658692,world_143.world,8.105225027748968,0.5
baseline,14,0,0.003012348490256479,-1.9551381648282335,success,11.061000000000007,114.90217306703398,world_143.world,8.105225027748968,0.5
baseline,15,0,2.808987975003378e-07,-2.3254397680724592,success,11.963999999999999,112.29557368292966,world_143.world,8.105225027748968,0.5
baseline,16,0,3.0864188004880247e-07,-1.8179984962958857,success,10.936000000000007,109.58895497008383,world_143.world,8.105225027748968,0.5
baseline,17,0,2.9069758991349133e-07,-1.9817423102015388,success,11.468999999999994,109.17436842278688,world_143.world,8.105225027748968,0.5
baseline,18,0,2.85714204081656e-07,-1.7921253708376992,success,11.457999999999998,113.42073230634116,world_143.world,8.105225027748968,0.5
baseline,19,0,0.0029157425901625103,-1.5336779822495372,success,11.477000000000004,110.49578982600384,world_143.world,8.105225027748968,0.5
baseline,20,0,3.0674837216307606e-07,-1.7478441875105768,success,10.972999999999985,115.34056361544624,world_143.world,8.105225027748968,0.5
