Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,2.4330894323383377e-07,-2.4226417254841244,success,12.232,105.04327869973525,world_292.world,8.361463272894046,0.5
baseline,2,0,2.6595737607516596e-07,-2.0311759514172043,success,11.622,109.78209991776671,world_292.world,8.361463272894046,0.5
baseline,3,0,2.710026365846514e-07,-2.054164291174645,success,11.57,110.39227193045394,world_292.world,8.361463272894046,0.5
baseline,4,0,0.20039698404821746,-8.071669448646146,success,15.637999999999998,90.6224414324425,world_292.world,8.361463272894046,0.5
baseline,5,0,2.8011196635519154e-07,-1.7361021585007113,success,10.880000000000003,110.56016241178821,world_292.world,8.361463272894046,0.5
baseline,6,0,2.688171320384054e-07,-2.154198573950336,success,11.453000000000003,111.76159377611599,world_292.world,8.361463272894046,0.5
baseline,7,0,2.710026365846514e-07,-1.9612840055039091,success,11.518,113.12122133703575,world_292.world,8.361463272894046,0.5
baseline,8,0,2.890172575094632e-07,-1.8061575494678437,success,10.832999999999998,115.3591168656729,world_292.world,8.361463272894046,0.5
baseline,9,0,0.002597661662945023,-2.6927646284661666,success,11.938000000000002,107.696529819276,world_292.world,8.361463272894046,0.5
baseline,10,0,0.07090487263939545,-2.6458717107963547,success,12.927999999999997,103.64051451995456,world_292.world,8.361463272894046,0.5
baseline,11,0,2.8490020373213575e-07,-1.880067332371725,success,11.056000000000012,107.6194746007697,world_292.world,8.361463272894046,0.5
baseline,12,0,2.8490020373213575e-07,-2.0120868296464764,success,10.95999999999998,110.74771434906272,world_292.world,8.361463272894046,0.5
baseline,13,0,3.021147123520507e-07,-1.8725687130924265,success,10.951000000000022,108.45796351925591,world_292.world,8.361463272894046,0.5
baseline,14,0,2.770082335157248e-07,-2.484708410038668,success,11.431999999999988,107.04045607803491,world_292.world,8.361463272894046,0.5
baseline,15,0,0.20125802908636709,-8.375772534728794,success,15.042000000000002,93.28878097604323,world_292.world,8.361463272894046,0.5
baseline,16,0,0.002577576655263749,-2.0865825127676034,success,12.067000000000007,106.76802608743984,world_292.world,8.361463272894046,0.5
baseline,17,0,0.21247578704175693,-8.402711330796356,success,16.125,95.65592402620018,world_292.world,8.361463272894046,0.5
baseline,18,0,2.7624301761242613e-07,-1.8226035430714658,success,11.575999999999993,109.3123383667398,world_292.world,8.361463272894046,0.5
baseline,19,0,0.3157895862188181,-14.250798305976145,success,19.567000000000007,80.00336743229303,world_292.world,8.361463272894046,0.42732474436009826
baseline,20,0,0.33171531849266694,-8.312579343356695,success,19.685000000000002,80.91731349099258,world_292.world,8.361463272894046,0.42476318378938505
