Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,3.773583481666611e-07,-0.3611520814621152,success,7.647,123.15527121699898,world_77.world,7.837206486692432,0.5
baseline,2,0,4.2194075023597036e-07,-0.35653595330849275,success,7.8919999999999995,127.04507673692984,world_77.world,7.837206486692432,0.5
baseline,3,0,4.329002454977292e-07,-0.3743828402958787,success,7.875,126.85424393455743,world_77.world,7.837206486692432,0.5
baseline,4,0,4.46428372130191e-07,-0.35611560131296444,success,7.8870000000000005,126.64373051264597,world_77.world,7.837206486692432,0.5
baseline,5,0,4.3103429696797547e-07,-0.38129818037444796,success,7.890999999999998,128.10078960349998,world_77.world,7.837206486692432,0.5
baseline,6,0,4.504502475449336e-07,-0.3441951558875787,success,7.506,120.82895129436571,world_77.world,7.837206486692432,0.5
baseline,7,0,4.255317338162835e-07,-0.3503481332812517,success,7.935000000000002,127.9540323256268,world_77.world,7.837206486692432,0.5
baseline,8,0,4.329002454977292e-07,-0.3727674790052499,success,7.878999999999998,128.16412875178952,world_77.world,7.837206486692432,0.5
baseline,9,0,4.3478241965981756e-07,-0.31363114657399116,success,7.994,127.97552738552899,world_77.world,7.837206486692432,0.5
baseline,10,0,4.5454524793397825e-07,-0.3046893653082694,success,7.474000000000004,122.06649709414395,world_77.world,7.837206486692432,0.5
baseline,11,0,4.3859629886127246e-07,-0.3076191992621562,success,7.881,129.19490790453273,world_77.world,7.837206486692432,0.5
baseline,12,0,4.3103429696797547e-07,-0.4565088831450951,success,7.949000000000012,127.15993180888071,world_77.world,7.837206486692432,0.5
baseline,13,0,4.3103429696797547e-07,-0.40166735560464556,success,7.904000000000011,127.70626741316575,world_77.world,7.837206486692432,0.5
baseline,14,0,0.004348258979017835,-0.4219311345299347,success,7.875,125.83045924470377,world_77.world,7.837206486692432,0.5
baseline,15,0,0.004348258979017835,-0.25828994288029483,success,7.8629999999999995,127.03978712354143,world_77.world,7.837206486692432,0.5
baseline,16,0,4.201678906857602e-07,-0.3342534120207912,success,7.950000000000003,127.94330461674407,world_77.world,7.837206486692432,0.5
baseline,17,0,4.3103429696797547e-07,-0.32950708688733255,success,7.920999999999992,128.56469956261293,world_77.world,7.837206486692432,0.5
baseline,18,0,0.004292272835934405,-0.366219400943591,success,7.935000000000002,126.84053901468187,world_77.world,7.837206486692432,0.5
baseline,19,0,4.329002454977292e-07,-0.3893652575191284,success,7.885999999999996,126.40705426286613,world_77.world,7.837206486692432,0.5
baseline,20,0,4.366810320170166e-07,-0.37283063497289154,success,7.8300000000000125,125.38668822327337,world_77.world,7.837206486692432,0.5
