Method,Episode,Collision,Recovery,Smoothness,Status,Time,Reward,World,optimal_time,nav_metric
baseline,1,0,3.7313418912903394e-07,-1.0050819649205913,success,8.593,126.07129342171743,world_146.world,8.25622470806392,0.5
baseline,2,0,3.5335676559831607e-07,-0.8576579792963264,success,9.627000000000002,119.72997006122229,world_146.world,8.25622470806392,0.5
baseline,3,0,4.065038997951627e-07,-0.8568818054967375,success,8.397000000000002,121.70312459858151,world_146.world,8.25622470806392,0.5
baseline,4,0,3.9215670895815336e-07,-0.8954682848370135,success,8.507999999999996,125.85392403834777,world_146.world,8.25622470806392,0.5
baseline,5,0,0.004016464250415964,-0.9618814875306725,success,8.434999999999995,122.77852981221156,world_146.world,8.25622470806392,0.5
baseline,6,0,3.584228106011432e-07,-0.892290428201918,success,9.493000000000002,121.57273434125513,world_146.world,8.25622470806392,0.5
baseline,7,0,0.0032682995855230117,-1.1623349646787917,success,10.423000000000009,110.94188087127849,world_146.world,8.25622470806392,0.5
baseline,8,0,3.9370063240132585e-07,-0.887964946662062,success,8.521999999999991,125.46715815631595,world_146.world,8.25622470806392,0.5
baseline,9,0,0.004016464250415964,-0.9850555096963672,success,8.456000000000003,122.01075231026782,world_146.world,8.25622470806392,0.5
baseline,10,0,0.004132642920395487,-0.837059940030361,success,8.440000000000012,126.51210654508317,world_146.world,8.25622470806392,0.5
baseline,11,0,4.065038997951627e-07,-0.9602829569495903,success,8.436999999999998,123.71490716951462,world_146.world,8.25622470806392,0.5
baseline,12,0,4.0322564386062747e-07,-1.0195522929576994,success,8.38300000000001,123.13534374299074,world_146.world,8.25622470806392,0.5
baseline,13,0,0.00362354941175746,-0.9210521679841894,success,9.454000000000008,118.90483272268555,world_146.world,8.25622470806392,0.5
baseline,14,0,4.065038997951627e-07,-0.985270790896987,success,8.378,117.68279587583598,world_146.world,8.25622470806392,0.5
baseline,15,0,3.99999840000064e-07,-1.0016008625606612,success,8.567999999999984,124.52791627357382,world_146.world,8.25622470806392,0.5
baseline,16,0,4.0322564386062747e-07,-0.9461879068627235,success,8.466000000000008,124.05560964486475,world_146.world,8.25622470806392,0.5
baseline,17,0,4.048581356849653e-07,-0.923644330255503,success,8.408999999999992,124.01009544098201,world_146.world,8.25622470806392,0.5
baseline,18,0,4.098358976082387e-07,-0.8723829968191588,success,8.38500000000002,120.70485946396693,world_146.world,8.25622470806392,0.5
baseline,19,0,4.1840986677411436e-07,-0.9414438336969974,success,8.314999999999998,122.67038248799074,world_146.world,8.25622470806392,0.5
baseline,20,0,4.098358976082387e-07,-0.8306640582293862,success,8.352000000000004,122.61175916193471,world_146.world,8.25622470806392,0.5
